distance,position,run,mean,std,min,max,median,range,q25,q75,iqr,skewness,kurtosis,variation_coeff,rate_of_change,max_change
3,start,1,-61.04545454545455,5.45624973374797,-79,-53,-60.0,26,-64.0,-58.0,6.0,-1.2069230397651314,1.3392147704928656,0.08938011477472474,4.517241379310345,19
3,start,2,-62.68115942028985,5.309255668847928,-79,-56,-61.0,23,-65.0,-59.0,6.0,-1.2538559256663893,1.126890364169264,0.08470257598855654,4.6911764705882355,21
3,start,3,-67.48148148148148,5.996112137725209,-83,-57,-67.0,26,-70.75,-63.0,7.75,-0.47771977139541455,-0.3611324900318298,0.08885566834170178,4.622641509433962,16
5,start,1,-69.48051948051948,4.479710071817437,-81,-59,-69.0,22,-72.0,-66.0,6.0,-0.21261598656981243,0.009868350301587281,0.06447433187475564,4.5394736842105265,15
5,start,2,-66.10810810810811,5.8807233595499016,-85,-58,-64.5,27,-70.0,-61.0,9.0,-0.8204641559924124,0.38365393347669086,0.08895615875034601,6.6438356164383565,27
5,start,3,-65.6027397260274,5.076779601680408,-82,-58,-64.0,24,-69.0,-62.0,7.0,-1.1485317457586124,1.6010828034851112,0.07738670096526828,4.472222222222222,21
7,start,1,-65.15686274509804,5.4498517663583055,-76,-58,-64.0,18,-69.0,-60.0,9.0,-0.31047196790953846,-1.2481418361548524,0.0836420222943947,6.82,17
7,start,2,-65.15789473684211,6.886395114508765,-79,-54,-63.0,25,-72.0,-58.75,13.25,-0.2854676194121273,-1.348114278418134,0.10568780870409251,5.093333333333334,19
7,start,3,-69.24271844660194,6.801578942068796,-86,-57,-70.0,29,-73.0,-63.0,10.0,-0.2740526686412109,-0.48784725948077545,0.0982280750186604,5.009803921568627,23
9,start,1,-67.44155844155844,5.600309607613675,-86,-59,-67.0,27,-71.0,-63.0,8.0,-1.111052368401568,1.3602718598048211,0.08303944536611843,5.2105263157894735,20
9,start,2,-60.876543209876544,3.9138333835647305,-73,-55,-59.0,18,-62.0,-58.0,4.0,-1.5749229627297343,2.114107503210797,0.06429132104415801,4.3125,18
9,start,3,-75.86363636363636,4.429195027885013,-90,-67,-74.0,23,-78.0,-73.75,4.25,-1.7112401988679884,3.9566971536128386,0.058383637275895926,4.116279069767442,17
3,center,1,-47.825,5.44466481980296,-68,-42,-47.5,26,-49.25,-43.0,6.25,-1.8324764547316097,4.4144207374532325,0.11384557908631385,5.139240506329114,23
3,center,2,-48.4,3.558585310451993,-63,-42,-48.0,21,-50.0,-46.0,4.0,-1.3514520800194354,3.995594424378939,0.07352448988537176,3.3452380952380953,18
3,center,3,-38.666666666666664,3.935865778519803,-56,-35,-38.0,21,-40.0,-36.0,4.0,-2.873423554651183,9.941090342608842,0.10178963220309836,2.467391304347826,19
5,center,1,-56.27272727272727,3.970708869411082,-71,-49,-55.0,22,-58.0,-54.0,4.0,-1.672635298696453,3.7502658574711254,0.07056187005415493,3.942528735632184,17
5,center,2,-55.07608695652174,5.165171186296047,-73,-48,-55.0,25,-57.0,-51.0,6.0,-1.523700917547419,3.62955949228906,0.0937824647995335,4.142857142857143,19
5,center,3,-49.3,4.978732547323443,-70,-44,-48.0,26,-52.0,-45.25,6.75,-2.1269668060223905,5.999812641705722,0.10098848980372097,4.52808988764045,21
7,center,1,-59.43529411764706,8.17664832646429,-77,-49,-60.0,28,-65.0,-51.0,14.0,-0.2946083234268536,-1.0710359527060551,0.13757226994249103,10.726190476190476,28
7,center,2,-54.98809523809524,5.9950258103798175,-74,-47,-55.0,27,-57.0,-50.0,7.0,-0.9667336788927329,0.9052365480137388,0.10902406756265526,6.132530120481928,20
7,center,3,-49.84615384615385,3.805499424049523,-64,-43,-50.0,21,-52.0,-47.0,5.0,-0.6363662217799282,1.4596790261043844,0.07634489585284536,4.522222222222222,21
9,center,1,-60.41891891891892,5.620923163470755,-81,-52,-59.0,29,-62.0,-57.0,5.0,-1.3569513403424662,2.210895754647994,0.09303250147547212,3.958904109589041,18
9,center,2,-51.80952380952381,4.513145325116795,-69,-47,-51.0,22,-53.25,-49.0,4.25,-1.9933895028202457,4.764671462634408,0.08711034175317342,3.180722891566265,17
9,center,3,-53.470588235294116,5.4849274439817295,-72,-47,-53.0,25,-56.0,-49.0,7.0,-1.3781484933911348,2.601050892598026,0.1025784010425626,4.380952380952381,21
3,end,1,-65.38028169014085,4.6097453328060025,-81,-61,-64.0,20,-67.0,-62.5,4.5,-2.163907720533451,4.844704960205446,0.07050666062671826,2.842857142857143,16
3,end,2,-70.1044776119403,5.174952096852941,-91,-61,-69.0,30,-72.0,-67.0,5.0,-1.347559255493722,3.4937848571656946,0.07381771140922867,5.136363636363637,22
3,end,3,-69.02898550724638,4.211684968649991,-83,-62,-68.0,21,-70.0,-67.0,3.0,-1.4738998061585282,2.9350582801851504,0.06101328214084598,2.8823529411764706,20
5,end,1,-66.525,5.29144356485071,-81,-59,-67.0,22,-68.25,-62.0,6.25,-0.8224314477989146,0.4346779855953389,0.0795406774122617,4.512820512820513,15
5,end,2,-65.1604938271605,7.134435342574022,-84,-55,-67.0,29,-70.0,-58.0,12.0,-0.3311573613170696,-0.5764512024229838,0.10949019756508067,7.3875,26
5,end,3,-64.59677419354838,8.505140148698986,-89,-55,-64.0,34,-71.0,-56.25,14.75,-0.9435893295742738,0.6761058652703023,0.13166509094115786,7.377049180327869,20
7,end,1,-68.19298245614036,5.358837909149177,-85,-61,-69.0,24,-71.0,-63.0,8.0,-0.7081358574676612,0.8567267815291704,0.07858342187329638,7.071428571428571,24
7,end,2,-62.58139534883721,5.261676088691126,-81,-56,-62.0,25,-64.0,-58.25,5.75,-1.4275395151540113,2.3772082335949953,0.08407732137261925,4.070588235294117,21
7,end,3,-60.735632183908045,5.337914203939528,-81,-54,-60.0,27,-61.0,-58.0,3.0,-2.3824201509716056,6.063646239396801,0.087887686552373,3.3372093023255816,21
9,end,1,-70.76190476190476,5.854625862591878,-87,-62,-69.0,25,-71.0,-68.0,3.0,-1.4082143263392886,1.5868124600772977,0.08273697383205211,3.707317073170732,15
9,end,2,-62.43478260869565,4.583297530936525,-80,-57,-62.0,23,-63.0,-60.0,3.0,-2.599170729705809,6.821103446055805,0.07340936156792485,2.5714285714285716,16
9,end,3,-61.67816091954023,5.7545469335896895,-81,-55,-60.0,26,-64.0,-58.5,5.5,-1.6467754097459182,2.7156165857739203,0.09329958688451416,4.3604651162790695,18
